state,statecode,year,time,makemodel,evtype,vehiclepurchaseincentive_dummy,vehiclepurchaseincentive_amount,homechargersubsidy_dummy,homechargersubsidy_amount,reducedvltregfee_dummy,vltregfee_amount,vltregfee_pvamount,hovaccess_dummy,hovaccess_amount,hovacess_pvamount,emissionexemption_dummy,emissionsexemption_amount,emissionsexemption_pvamount,annualfee_dummy,annualfee_amount,annualfee_pvamount,tou_dummy,designatedparking_dummy,freeparking_dummy,Subsidies_excludinghov,Index_includinghov,Subsidies,Index
Missouri,MO,2015,2015h2,Honda Accord,phev,0,0,1,1500,0,0,0,0,0,0,0,0,0,1,75,399.7108,0,0,0,1100.289,0,1100.289,0
Missouri,MO,2015,2015h2,Honda Fit,bev,0,0,1,1500,0,0,0,0,0,0,0,0,0,1,75,399.7108,0,0,0,1100.289,0,1100.289,0
Missouri,MO,2015,2015h2,Hyundai Sonata,phev,0,0,1,1500,0,0,0,0,0,0,0,0,0,1,75,399.7108,0,0,0,1100.289,0,1100.289,0
Missouri,MO,2015,2015h2,Kia Soul Ev,bev,0,0,1,1500,0,0,0,0,0,0,0,0,0,1,75,399.7108,0,0,0,1100.289,0,1100.289,0
Missouri,MO,2015,2015h2,Mclaren P1,phev,0,0,1,1500,0,0,0,0,0,0,0,0,0,1,75,399.7108,0,0,0,1100.289,0,1100.289,0
Missouri,MO,2015,2015h2,Mercedes-Benz B-Class,bev,0,0,1,1500,0,0,0,0,0,0,0,0,0,1,75,399.7108,0,0,0,1100.289,0,1100.289,0
Missouri,MO,2015,2015h2,Mitsubishi I-Miev,bev,0,0,1,1500,0,0,0,0,0,0,0,0,0,1,75,399.7108,0,0,0,1100.289,0,1100.289,0
Missouri,MO,2015,2015h2,Nissan Leaf,bev,0,0,1,1500,0,0,0,0,0,0,0,0,0,1,75,399.7108,0,0,0,1100.289,0,1100.289,0
Missouri,MO,2015,2015h2,Porsche 918,phev,0,0,1,1500,0,0,0,0,0,0,0,0,0,1,75,399.7108,0,0,0,1100.289,0,1100.289,0
Missouri,MO,2015,2015h2,Porsche Cayenne,phev,0,0,1,1500,0,0,0,0,0,0,0,0,0,1,75,399.7108,0,0,0,1100.289,0,1100.289,0
Missouri,MO,2015,2015h2,Porsche Panamera,phev,0,0,1,1500,0,0,0,0,0,0,0,0,0,1,75,399.7108,0,0,0,1100.289,0,1100.289,0
Missouri,MO,2015,2015h2,Smartcar Fortwo,bev,0,0,1,1500,0,0,0,0,0,0,0,0,0,1,75,399.7108,0,0,0,1100.289,0,1100.289,0
Missouri,MO,2015,2015h2,Tesla Model S,bev,0,0,1,1500,0,0,0,0,0,0,0,0,0,1,75,399.7108,0,0,0,1100.289,0,1100.289,0
Missouri,MO,2015,2015h2,Tesla Model X,bev,0,0,1,1500,0,0,0,0,0,0,0,0,0,1,75,399.7108,0,0,0,1100.289,0,1100.289,0
Missouri,MO,2015,2015h2,Tesla Roadster,bev,0,0,1,1500,0,0,0,0,0,0,0,0,0,1,75,399.7108,0,0,0,1100.289,0,1100.289,0
Missouri,MO,2015,2015h2,Toyota Prius Plug-In,phev,0,0,1,1500,0,0,0,0,0,0,0,0,0,1,75,399.7108,0,0,0,1100.289,0,1100.289,0
Missouri,MO,2015,2015h2,Toyota Rav4 Ev,bev,0,0,1,1500,0,0,0,0,0,0,0,0,0,1,75,399.7108,0,0,0,1100.289,0,1100.289,0
Missouri,MO,2015,2015h2,Toyota Scion,bev,0,0,1,1500,0,0,0,0,0,0,0,0,0,1,75,399.7108,0,0,0,1100.289,0,1100.289,0
Missouri,MO,2015,2015h2,Volkswagen Golf,bev,0,0,1,1500,0,0,0,0,0,0,0,0,0,1,75,399.7108,0,0,0,1100.289,0,1100.289,0
Montana,MT,2010,2010h1,Bmw Active E,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Bmw I3,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Bmw I3REx,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Bmw I8,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Bmw X5,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Cadillac Elr,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Chevrolet Spark,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Chevrolet Volt,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Fiat 500,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Fisker Karma,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Ford C-Max,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Ford Focus,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Ford Fusion,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Honda Accord,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Honda Fit,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Hyundai Sonata,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Kia Soul Ev,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Mclaren P1,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Mercedes-Benz B-Class,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Mitsubishi I-Miev,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Nissan Leaf,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Porsche 918,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Porsche Cayenne,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Porsche Panamera,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Smartcar Fortwo,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Tesla Model S,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Tesla Model X,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Tesla Roadster,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Toyota Prius Plug-In,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Toyota Rav4 Ev,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Toyota Scion,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h1,Volkswagen Golf,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Bmw Active E,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Bmw I3,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Bmw I3REx,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Bmw I8,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Bmw X5,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Cadillac Elr,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Chevrolet Spark,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Chevrolet Volt,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Fiat 500,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Fisker Karma,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Ford C-Max,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Ford Focus,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Ford Fusion,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Honda Accord,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Honda Fit,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Hyundai Sonata,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Kia Soul Ev,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Mclaren P1,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Mercedes-Benz B-Class,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Mitsubishi I-Miev,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Nissan Leaf,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Porsche 918,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Porsche Cayenne,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Porsche Panamera,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Smartcar Fortwo,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Tesla Model S,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Tesla Model X,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Tesla Roadster,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Toyota Prius Plug-In,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Toyota Rav4 Ev,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Toyota Scion,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2010,2010h2,Volkswagen Golf,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Bmw Active E,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Bmw I3,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Bmw I3REx,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Bmw I8,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Bmw X5,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Cadillac Elr,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Chevrolet Spark,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Chevrolet Volt,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Fiat 500,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Fisker Karma,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Ford C-Max,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Ford Focus,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Ford Fusion,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Honda Accord,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Honda Fit,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Hyundai Sonata,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Kia Soul Ev,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Mclaren P1,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Mercedes-Benz B-Class,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Mitsubishi I-Miev,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Nissan Leaf,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Porsche 918,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Porsche Cayenne,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Porsche Panamera,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Smartcar Fortwo,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Tesla Model S,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Tesla Model X,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Tesla Roadster,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Toyota Prius Plug-In,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Toyota Rav4 Ev,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Toyota Scion,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h1,Volkswagen Golf,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Bmw Active E,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Bmw I3,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Bmw I3REx,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Bmw I8,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Bmw X5,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Cadillac Elr,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Chevrolet Spark,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Chevrolet Volt,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Fiat 500,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Fisker Karma,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Ford C-Max,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Ford Focus,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Ford Fusion,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Honda Accord,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Honda Fit,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Hyundai Sonata,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Kia Soul Ev,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Mclaren P1,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Mercedes-Benz B-Class,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Mitsubishi I-Miev,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Nissan Leaf,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Porsche 918,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Porsche Cayenne,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Porsche Panamera,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Smartcar Fortwo,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Tesla Model S,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Tesla Model X,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Tesla Roadster,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Toyota Prius Plug-In,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Toyota Rav4 Ev,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Toyota Scion,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2011,2011h2,Volkswagen Golf,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Bmw Active E,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Bmw I3,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Bmw I3REx,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Bmw I8,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Bmw X5,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Cadillac Elr,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Chevrolet Spark,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Chevrolet Volt,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Fiat 500,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Fisker Karma,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Ford C-Max,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Ford Focus,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Ford Fusion,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Honda Accord,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Honda Fit,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Hyundai Sonata,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Kia Soul Ev,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Mclaren P1,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Mercedes-Benz B-Class,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Mitsubishi I-Miev,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Nissan Leaf,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Porsche 918,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Porsche Cayenne,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Porsche Panamera,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Smartcar Fortwo,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Tesla Model S,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Tesla Model X,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Tesla Roadster,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Toyota Prius Plug-In,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Toyota Rav4 Ev,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Toyota Scion,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h1,Volkswagen Golf,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h2,Bmw Active E,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h2,Bmw I3,bev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h2,Bmw I3REx,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h2,Bmw I8,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h2,Bmw X5,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,2012,2012h2,Cadillac Elr,phev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
